@relation table_train-weka.filters.unsupervised.attribute.Remove-R1-11

@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric
@attribute mjd numeric

@data
STAR,-0.367766,2.419084
GALAXY,-0.18879,-0.583045
STAR,-0.366722,-0.682918
GALAXY,-0.2489,-0.681595
STAR,-0.366865,1.243762
STAR,-0.367971,1.017561
GALAXY,-0.162025,-0.628682
GALAXY,-0.153471,-0.629344
GALAXY,0.013209,-0.604872
GALAXY,-0.286571,-0.606856
QSO,5.68254,-0.682256
GALAXY,-0.26072,-0.669028
STAR,-0.368362,0.540025
GALAXY,-0.237279,-0.682256
GALAXY,-0.090932,-0.828427
STAR,-0.368196,0.334327
GALAXY,-0.109589,-0.839671
STAR,-0.367869,1.342312
GALAXY,-0.296303,-0.650509
GALAXY,-0.181774,-0.844963
GALAXY,-0.068353,-0.682918
GALAXY,-0.062145,-0.649186
QSO,0.080365,-0.878694
STAR,-0.369495,1.342312
QSO,3.293186,-0.630005
STAR,-0.367875,0.793344
STAR,-0.367306,1.010286
STAR,-0.367781,-0.415048
STAR,-0.368306,1.075765
GALAXY,-0.180434,-0.682256
STAR,-0.368392,1.079733
GALAXY,-0.088243,-0.589659
GALAXY,-0.31202,-0.62273
GALAXY,-0.156513,-0.632651
GALAXY,-0.047186,-0.466637
STAR,-0.367257,2.51631
GALAXY,0.158963,-0.622068
STAR,-0.368345,1.131985
QSO,2.307741,2.322518
GALAXY,-0.16756,-0.84827
GALAXY,-0.122225,-0.37404
GALAXY,-0.055538,-0.700114
GALAXY,-0.352705,1.577112
GALAXY,-0.241904,-0.87671
GALAXY,-0.264701,-0.373379
GALAXY,-0.088327,-0.379332
GALAXY,-0.07599,-0.688209
GALAXY,-0.107801,-0.699453
GALAXY,-0.056346,-0.824459
QSO,4.190561,-0.84827
STAR,-0.368945,-0.82512
STAR,-0.366467,1.310565
GALAXY,-0.127943,-0.864805
STAR,-0.368151,2.169072
GALAXY,-0.1335,-0.628682
GALAXY,-0.093573,-0.37404
STAR,-0.368043,-0.84364
STAR,-0.367454,-0.87671
GALAXY,-0.034085,-0.823798
STAR,-0.366797,1.778841
GALAXY,-0.23326,-0.838349
GALAXY,-0.006192,-0.377347
STAR,-0.367029,1.065844
STAR,-0.369381,1.046663
STAR,-0.367766,2.51631
GALAXY,-0.18467,-0.583045
GALAXY,-0.194815,-0.589659
GALAXY,-0.198446,-0.699453
GALAXY,-0.231396,-0.827766
GALAXY,-0.192917,0.328374
STAR,-0.368739,1.524199
GALAXY,-0.195575,-0.631989
STAR,-0.367257,-0.839671
GALAXY,-0.147888,-0.688209
GALAXY,-0.252646,-0.681595
