@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-4,8-11'

@attribute r numeric
@attribute i numeric
@attribute z numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric
@attribute mjd numeric

@data
1.029298,1.020862,0.987933,STAR,-0.367766,2.419084
0.15902,0.049329,-0.000414,GALAXY,-0.18879,-0.583045
0.367838,0.587816,0.726915,STAR,-0.366722,-0.682918
-1.219867,-1.212127,-1.234489,GALAXY,-0.2489,-0.681595
1.196245,1.250665,1.302663,STAR,-0.366865,1.243762
1.999051,2.285262,2.581355,STAR,-0.367971,1.017561
0.217575,0.097148,-0.008473,GALAXY,-0.162025,-0.628682
0.080475,-0.077161,-0.240675,GALAXY,-0.153471,-0.629344
0.64247,0.438749,0.359978,GALAXY,0.013209,-0.604872
0.446288,0.451787,0.474933,GALAXY,-0.286571,-0.606856
1.05633,1.135025,1.051175,QSO,5.68254,-0.682256
0.292711,0.266568,0.293107,GALAXY,-0.26072,-0.669028
0.719828,0.791762,0.863807,STAR,-0.368362,0.540025
0.155724,0.12137,0.131245,GALAXY,-0.237279,-0.682256
-0.310081,-0.38435,-0.444905,GALAXY,-0.090932,-0.828427
-1.789083,-1.539406,-1.330109,STAR,-0.368196,0.334327
0.004388,-0.162011,-0.33917,GALAXY,-0.109589,-0.839671
-1.128931,-1.097251,-1.048233,STAR,-0.367869,1.342312
-1.712535,-1.724045,-1.77577,GALAXY,-0.296303,-0.650509
-0.135027,-0.376939,-0.607436,GALAXY,-0.181774,-0.844963
-0.854092,-0.905658,-1.098667,GALAXY,-0.068353,-0.682918
-0.025553,-0.211659,-0.391787,GALAXY,-0.062145,-0.649186
0.440205,0.208832,0.190081,QSO,0.080365,-0.878694
-0.906197,-0.581808,-0.387097,STAR,-0.369495,1.342312
1.411041,1.50432,1.60574,QSO,3.293186,-0.630005
-0.282597,-0.210455,-0.126839,STAR,-0.367875,0.793344
-0.965186,-0.853794,-0.751677,STAR,-0.367306,1.010286
-0.888449,-0.477219,-0.253248,STAR,-0.367781,-0.415048
-2.617396,-2.36851,-2.147138,STAR,-0.368306,1.075765
0.705705,0.53473,0.464525,GALAXY,-0.180434,-0.682256
-1.445049,-1.26799,-1.102505,STAR,-0.368392,1.079733
0.807825,0.706234,0.627834,GALAXY,-0.088243,-0.589659
-2.349505,-2.168019,-2.087014,GALAXY,-0.31202,-0.62273
-0.762498,-0.818363,-0.927768,GALAXY,-0.156513,-0.632651
-0.575637,-0.718865,-0.877007,GALAXY,-0.047186,-0.466637
1.108341,1.221801,1.288485,STAR,-0.367257,2.51631
1.143405,0.966818,0.872284,GALAXY,0.158963,-0.622068
-1.228435,-1.195246,-1.133536,STAR,-0.368345,1.131985
1.069172,1.324921,1.352237,QSO,2.307741,2.322518
0.18688,0.079617,0.017735,GALAXY,-0.16756,-0.84827
0.019943,-0.085979,-0.153816,GALAXY,-0.122225,-0.37404
0.136903,-0.013366,-0.114032,GALAXY,-0.055538,-0.700114
-3.11527,-2.568447,-1.668046,GALAXY,-0.352705,1.577112
-2.037333,-2.043138,-2.063406,GALAXY,-0.241904,-0.87671
-2.175873,-2.238934,-2.419459,GALAXY,-0.264701,-0.373379
0.265152,0.131709,0.057327,GALAXY,-0.088327,-0.379332
-0.980401,-1.112268,-1.226673,GALAXY,-0.07599,-0.688209
-0.355219,-0.516967,-0.669717,GALAXY,-0.107801,-0.699453
-0.159743,-0.27839,-0.372099,GALAXY,-0.056346,-0.824459
2.189932,2.143792,2.187892,QSO,4.190561,-0.84827
0.545047,0.568553,0.590341,STAR,-0.368945,-0.82512
0.302221,0.306818,0.354636,STAR,-0.366467,1.310565
-0.643306,-0.752731,-0.887072,GALAXY,-0.127943,-0.864805
0.913957,0.968436,0.999512,STAR,-0.368151,2.169072
0.439047,0.260836,0.086027,GALAXY,-0.1335,-0.628682
0.347142,0.181884,0.089906,GALAXY,-0.093573,-0.37404
0.829707,0.867812,0.943777,STAR,-0.368043,-0.84364
-0.164197,-0.070593,0.006633,STAR,-0.367454,-0.87671
0.078573,-0.023178,-0.097973,GALAXY,-0.034085,-0.823798
1.406484,1.449978,1.478278,STAR,-0.366797,1.778841
0.509767,0.309183,0.178202,GALAXY,-0.23326,-0.838349
-0.082253,-0.274108,-0.435132,GALAXY,-0.006192,-0.377347
-0.014942,0.109351,0.215604,STAR,-0.367029,1.065844
1.184277,1.166852,1.222443,STAR,-0.369381,1.046663
-0.392147,-0.35582,-0.315529,STAR,-0.367766,2.51631
-0.893675,-0.991696,-1.064074,GALAXY,-0.18467,-0.583045
-1.49577,-1.531554,-1.584448,GALAXY,-0.194815,-0.589659
-0.282239,-0.435009,-0.583201,GALAXY,-0.198446,-0.699453
0.141045,0.093526,0.046685,GALAXY,-0.231396,-0.827766
0.419256,0.347718,0.316966,GALAXY,-0.192917,0.328374
0.23489,0.334556,0.425159,STAR,-0.368739,1.524199
0.301938,0.112912,0.005672,GALAXY,-0.195575,-0.631989
0.389296,0.539795,0.618588,STAR,-0.367257,-0.839671
0.671997,0.548604,0.474164,GALAXY,-0.147888,-0.688209
-1.679721,-1.688939,-1.747163,GALAXY,-0.252646,-0.681595
0.39229,0.405287,0.366991,GALAXY,-0.350912,-0.866789
-0.957286,-0.794045,-0.643919,STAR,-0.368348,0.540025
0.173152,0.038119,-0.053775,GALAXY,-0.115257,-0.661091
1.241675,1.274148,1.370144,STAR,-0.370802,1.311887
-1.193362,-1.306939,-1.41955,GALAXY,-0.177182,-0.682256
0.82144,0.86208,0.904995,STAR,-0.367785,-0.650509
-0.029931,-0.092116,-0.171497,GALAXY,-0.248893,-0.626037
-0.007532,0.058543,0.135709,STAR,-0.367925,1.290061
0.640737,0.71958,0.771882,STAR,-0.367857,-0.688209
0.354505,0.292979,0.24488,GALAXY,-0.28392,-0.632651
0.002741,-0.201434,-0.382641,GALAXY,-0.125368,-0.629344
0.597887,0.594032,0.581295,STAR,-0.366244,-0.87671
1.951418,1.958889,2.019467,QSO,3.437269,-0.706067
1.053147,1.380715,1.66058,STAR,-0.368034,-0.427614
0.182436,0.041943,-0.071974,GALAXY,-0.036063,-0.703421
0.64005,0.529244,0.49743,GALAXY,-0.059979,-0.703421
0.893968,1.067811,1.185166,STAR,-0.367777,-0.682918
1.107117,1.159458,1.202789,STAR,-0.368298,1.50105
0.750692,0.646221,0.635584,GALAXY,-0.139925,-0.569817
0.242159,0.130988,-0.000907,GALAXY,-0.199598,-0.650509
-0.506188,-0.691935,-0.846761,GALAXY,-0.14136,-0.839671
0.352161,0.413543,0.489521,STAR,-0.368155,-0.82512
1.836915,1.750266,1.803458,QSO,4.439296,-0.632651
-0.035646,-0.18691,-0.33015,GALAXY,-0.087785,-0.703421
-0.380989,-0.435387,-0.474056,GALAXY,-0.277477,-0.626037
0.41145,0.529789,0.631897,STAR,-0.369668,2.322518
-0.025045,-0.106359,-0.215921,GALAXY,-0.239661,-0.709374
-0.470484,-0.612017,-0.782859,GALAXY,-0.128547,-0.661091
-0.309714,0.153108,0.50431,STAR,-0.367541,2.504405
0.907903,0.79789,0.822467,GALAXY,0.0004,-0.878033
0.021694,0.064345,0.09299,STAR,-0.366749,0.83832
-0.355652,-0.246809,-0.137038,STAR,-0.367907,1.132646
-0.149301,-0.274372,-0.370252,GALAXY,-0.080079,-0.682256
1.076441,1.074818,1.085124,STAR,-0.366958,1.108174
1.66028,1.572308,1.6484,QSO,4.341702,-0.688209
1.870623,2.179504,2.390618,STAR,-0.367562,-0.606856
0.064271,0.104181,0.137239,GALAXY,-0.263195,-0.628682
-0.756048,-0.64001,-0.511073,STAR,-0.367673,0.841627
0.58527,0.661237,0.73056,STAR,-0.367961,0.841627
-0.432747,-0.352945,-0.275368,STAR,-0.36809,1.311887
-0.358741,-0.488473,-0.606609,GALAXY,-0.155361,-0.631989
-0.082413,0.006275,0.093893,STAR,-0.367943,-0.703421
-0.802796,-0.951253,-1.062829,GALAXY,-0.246627,-0.682918
0.537713,0.544032,0.535935,GALAXY,-0.3187,-0.679611
-0.320325,-0.172852,-0.058765,STAR,-0.366284,0.793344
0.106123,-0.02833,-0.139438,GALAXY,-0.028572,-0.84827
0.42015,0.482427,0.553783,STAR,-0.367201,-0.628682
-1.520241,-1.554976,-1.596586,GALAXY,-0.19413,-0.632651
-0.06007,-0.189978,-0.320653,GALAXY,-0.167286,-0.651832
0.752236,0.792835,0.82541,STAR,-0.368965,1.323793
-2.092979,-2.132456,-2.164267,GALAXY,-0.19262,1.485176
0.641707,0.455586,0.367167,GALAXY,-0.159831,-0.622068
-0.601577,-0.514514,-0.425786,STAR,-0.36806,-0.827105
1.011644,0.76856,0.671289,QSO,0.053891,-0.88134
0.637875,0.733788,0.799127,STAR,-0.368562,1.553963
-1.516682,-1.322017,-1.157479,STAR,-0.368017,1.290061
-0.614627,-0.649954,-0.706918,GALAXY,-0.259671,-0.74046
-0.154612,-0.055612,0.020695,STAR,-0.36801,-0.377347
-0.947654,-1.01248,-1.085952,GALAXY,-0.241758,-0.706067
0.633704,0.564922,0.627809,GALAXY,-0.186513,-0.412402
1.289044,1.375273,1.402245,STAR,-0.36697,-0.629344
-0.416994,-0.522366,-0.623922,GALAXY,-0.238998,-0.877372
0.270848,0.083389,-0.073788,GALAXY,-0.033374,-0.692839
-0.280403,-0.336522,-0.275744,GALAXY,-0.179762,-0.606856
2.06205,2.066062,2.1903,QSO,3.325561,-0.622068
-2.915557,-2.849665,-2.845157,GALAXY,-0.319539,-0.377347
0.665933,0.686189,0.732984,GALAXY,-0.226218,-0.84364
-0.987152,-1.024973,-1.093367,GALAXY,-0.311853,-0.681595
-0.23776,-0.401108,-0.564459,GALAXY,-0.115311,-0.864805
-0.798418,-0.728967,-0.772133,GALAXY,-0.22975,-0.585691
0.716598,0.668851,0.642238,GALAXY,-0.284683,-0.650509
0.785285,0.830376,0.886228,STAR,-0.366472,-0.626698
0.565036,0.367649,0.263263,GALAXY,-0.084264,-0.632651
0.775172,0.645869,0.603307,GALAXY,-0.119026,-0.661091
0.212924,0.04051,-0.063999,GALAXY,-0.016189,-0.682256
0.230051,0.239076,0.2486,GALAXY,-0.299443,-0.698792
0.44431,0.393101,0.377826,STAR,-0.366283,0.841627
-0.687522,-0.614479,-0.565754,STAR,-0.36737,0.793344
-0.222036,-0.356823,-0.501292,GALAXY,-0.016325,-0.659768
-0.416976,-0.571592,-0.728612,GALAXY,0.029118,-0.622068
-0.158755,-0.359733,-0.540458,GALAXY,-0.03867,-0.69813
0.52632,0.635064,0.748358,STAR,-0.367766,2.504405
-0.435684,0.262295,0.184681,STAR,-0.371441,-0.682918
0.771369,0.59004,0.722534,QSO,0.133349,-0.66043
-0.780095,-0.673798,-0.562176,STAR,-0.368228,1.212015
0.060025,-0.103668,-0.193509,GALAXY,-0.168554,-0.631989
0.900032,0.812256,0.747212,GALAXY,-0.246919,-0.622068
-0.706616,-0.786941,-0.865195,GALAXY,-0.180357,-0.84364
-1.013412,-1.06553,-1.046494,STAR,-0.367852,1.212015
0.028605,-0.114667,-0.249887,GALAXY,-0.143691,-0.688209
0.083375,0.156405,0.225794,STAR,-0.369496,1.079733
-0.264698,-0.108205,0.024256,STAR,-0.368888,-0.373379
-0.055541,-0.005506,0.045523,STAR,-0.36847,2.504405
0.497386,0.419952,0.373429,GALAXY,-0.218793,-0.645218
0.069855,-0.078813,-0.176881,GALAXY,-0.053778,-0.668367
1.070293,1.127437,1.148124,STAR,-0.368754,1.114788
1.463119,1.651796,1.720236,STAR,-0.367789,-0.37867
0.266159,0.142672,0.181663,GALAXY,-0.037506,-0.379332
0.402609,0.242426,0.314759,GALAXY,-0.073514,-0.628682
-0.777572,-0.704947,-0.716056,GALAXY,-0.300477,-0.682256
0.545838,0.428858,0.373253,GALAXY,-0.19328,-0.682256
0.382902,0.502772,0.616264,STAR,-0.367345,1.01227
0.748837,0.750475,0.790324,STAR,-0.367748,-0.622068
-1.27475,-1.352788,-1.43938,GALAXY,-0.159757,-0.668367
0.650417,0.60867,0.635985,GALAXY,-0.276774,-0.628682
0.827768,1.166641,1.399152,STAR,-0.36808,-0.682256
0.263344,0.361345,0.472451,STAR,-0.367494,2.504405
0.324554,0.447128,0.56272,STAR,-0.368031,0.793344
-0.295299,-0.135785,-0.022032,STAR,-0.367862,1.132646
0.231529,0.296373,0.343007,STAR,-0.367204,1.075765
-0.639983,-0.737469,-0.836738,GALAXY,-0.184794,-0.427614
0.259606,0.11918,0.013229,GALAXY,-0.209975,-0.699453
0.353093,0.209939,0.097563,GALAXY,-0.157863,-0.628682
-0.009933,-0.137728,-0.217635,GALAXY,-0.117442,-0.688209
0.917027,0.9989,1.048667,STAR,-0.369613,2.47398
-1.966396,-1.73863,-1.575519,STAR,-0.36786,1.075765
-0.348035,-0.440935,-0.494746,GALAXY,-0.026586,-0.824459
1.070594,1.103989,1.134213,STAR,-0.367778,1.72196
0.071408,-0.095439,-0.242205,GALAXY,-0.230477,-0.709374
-0.083732,-0.213892,0.102788,STAR,-0.368304,-0.626698
0.320901,0.160564,0.094896,GALAXY,-0.080485,-0.622068
2.575818,2.849088,3.053935,STAR,-0.368052,0.801942
-0.563754,-0.501362,-0.454586,STAR,-0.370382,0.637913
0.696892,0.724776,0.656417,GALAXY,-0.277112,-0.62273
1.533208,1.471368,1.499002,QSO,4.101276,-0.70739
1.62581,2.103199,2.27761,GALAXY,-0.354123,-0.681595
-0.508683,-0.630278,-0.715989,GALAXY,-0.133397,1.585049
-1.597985,-1.207801,-1.002521,STAR,-0.369228,-0.82512
1.973601,2.061869,2.117043,QSO,2.918517,-0.682256
-0.251865,-0.176166,-0.070636,STAR,-0.36852,-0.827105
-2.031759,-1.75632,-1.547673,STAR,-0.367598,0.83832
0.197237,0.286904,0.293383,GALAXY,-0.286357,-0.681595
-0.297097,-0.171313,-0.052763,STAR,-0.367465,-0.650509
0.67308,0.734641,0.766482,STAR,-0.367979,1.778841
