@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,8-10,14'

@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute i numeric
@attribute z numeric
@attribute field numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
0.992364,1.136963,1.029298,1.020862,0.987933,-0.796851,STAR,-0.367766
0.547318,0.330611,0.15902,0.049329,-0.000414,0.230057,GALAXY,-0.18879
-0.142131,-0.129184,0.367838,0.587816,0.726915,0.187013,STAR,-0.366722
-1.315706,-1.265375,-1.219867,-1.212127,-1.234489,-0.4402,GALAXY,-0.2489
0.81695,1.062042,1.196245,1.250665,1.302663,-0.464797,STAR,-0.366865
-0.077568,1.357646,1.999051,2.285262,2.581355,-0.464797,STAR,-0.367971
0.679096,0.439235,0.217575,0.097148,-0.008473,-0.046654,GALAXY,-0.162025
0.808331,0.372434,0.080475,-0.077161,-0.240675,1.816538,GALAXY,-0.153471
0.860574,0.897022,0.64247,0.438749,0.359978,-0.661569,GALAXY,0.013209
0.209832,0.369129,0.446288,0.451787,0.474933,-0.194234,GALAXY,-0.286571
-0.199545,0.572944,1.05633,1.135025,1.051175,-0.993623,QSO,5.68254
0.378207,0.241575,0.292711,0.266568,0.293107,0.100925,GALAXY,-0.26072
0.241559,0.490636,0.719828,0.791762,0.863807,-0.815298,STAR,-0.368362
0.189002,0.142739,0.155724,0.12137,0.131245,0.131671,GALAXY,-0.237279
-0.198822,-0.268356,-0.310081,-0.38435,-0.444905,0.974105,GALAXY,-0.090932
-2.792086,-2.266381,-1.789083,-1.539406,-1.330109,-1.706925,STAR,-0.368196
1.049068,0.458654,0.004388,-0.162011,-0.33917,2.474497,GALAXY,-0.109589
0.339465,-0.824127,-1.128931,-1.097251,-1.048233,-1.768416,STAR,-0.367869
-1.816624,-1.718559,-1.712535,-1.724045,-1.77577,-0.083549,GALAXY,-0.296303
1.05031,0.330834,-0.135027,-0.376939,-0.607436,1.275413,GALAXY,-0.181774
0.526367,-0.429709,-0.854092,-0.905658,-1.098667,-0.636973,GALAXY,-0.068353
1.133834,0.454243,-0.025553,-0.211659,-0.391787,0.562112,GALAXY,-0.062145
0.618378,0.745797,0.440205,0.208832,0.190081,0.35919,QSO,0.080365
-1.700204,-1.608393,-0.906197,-0.581808,-0.387097,1.496782,STAR,-0.369495
-0.243652,1.192168,1.411041,1.50432,1.60574,0.654349,QSO,3.293186
-0.329395,-0.359751,-0.282597,-0.210455,-0.126839,-0.138892,STAR,-0.367875
-0.845273,-1.061656,-0.965186,-0.853794,-0.751677,-0.489393,STAR,-0.367306
-1.956853,-1.758512,-0.888449,-0.477219,-0.253248,-0.520139,STAR,-0.367781
-3.128861,-3.033343,-2.617396,-2.36851,-2.147138,-0.022058,STAR,-0.368306
0.940338,0.819401,0.705705,0.53473,0.464525,0.082478,GALAXY,-0.180434
-1.336861,-1.615653,-1.445049,-1.26799,-1.102505,-0.58163,STAR,-0.368392
0.776278,0.863393,0.807825,0.706234,0.627834,1.582871,GALAXY,-0.088243
-3.371901,-2.705854,-2.349505,-2.168019,-2.087014,-0.22498,GALAXY,-0.31202
0.122342,-0.494321,-0.762498,-0.818363,-0.927768,-1.737671,GALAXY,-0.156513
