@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,6-11,14'

@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
0.992364,1.136963,1.029298,STAR,-0.367766
0.547318,0.330611,0.15902,GALAXY,-0.18879
-0.142131,-0.129184,0.367838,STAR,-0.366722
-1.315706,-1.265375,-1.219867,GALAXY,-0.2489
0.81695,1.062042,1.196245,STAR,-0.366865
-0.077568,1.357646,1.999051,STAR,-0.367971
0.679096,0.439235,0.217575,GALAXY,-0.162025
0.808331,0.372434,0.080475,GALAXY,-0.153471
0.860574,0.897022,0.64247,GALAXY,0.013209
0.209832,0.369129,0.446288,GALAXY,-0.286571
-0.199545,0.572944,1.05633,QSO,5.68254
0.378207,0.241575,0.292711,GALAXY,-0.26072
0.241559,0.490636,0.719828,STAR,-0.368362
0.189002,0.142739,0.155724,GALAXY,-0.237279
-0.198822,-0.268356,-0.310081,GALAXY,-0.090932
-2.792086,-2.266381,-1.789083,STAR,-0.368196
1.049068,0.458654,0.004388,GALAXY,-0.109589
0.339465,-0.824127,-1.128931,STAR,-0.367869
-1.816624,-1.718559,-1.712535,GALAXY,-0.296303
1.05031,0.330834,-0.135027,GALAXY,-0.181774
0.526367,-0.429709,-0.854092,GALAXY,-0.068353
1.133834,0.454243,-0.025553,GALAXY,-0.062145
0.618378,0.745797,0.440205,QSO,0.080365
-1.700204,-1.608393,-0.906197,STAR,-0.369495
-0.243652,1.192168,1.411041,QSO,3.293186
-0.329395,-0.359751,-0.282597,STAR,-0.367875
-0.845273,-1.061656,-0.965186,STAR,-0.367306
-1.956853,-1.758512,-0.888449,STAR,-0.367781
-3.128861,-3.033343,-2.617396,STAR,-0.368306
0.940338,0.819401,0.705705,GALAXY,-0.180434
-1.336861,-1.615653,-1.445049,STAR,-0.368392
0.776278,0.863393,0.807825,GALAXY,-0.088243
-3.371901,-2.705854,-2.349505,GALAXY,-0.31202
0.122342,-0.494321,-0.762498,GALAXY,-0.156513
0.45192,-0.145244,-0.575637,GALAXY,-0.047186
0.835067,0.910531,1.108341,STAR,-0.367257
1.11433,1.403508,1.143405,GALAXY,0.158963
-0.033726,-0.987341,-1.228435,STAR,-0.368345
-0.432785,0.845643,1.069172,QSO,2.307741
0.322299,0.279508,0.18688,GALAXY,-0.16756
0.140906,0.161339,0.019943,GALAXY,-0.122225
0.606457,0.374103,0.136903,GALAXY,-0.055538
-4.513737,-3.921526,-3.11527,GALAXY,-0.352705
-1.846362,-2.075873,-2.037333,GALAXY,-0.241904
