@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,14'

@attribute u numeric
@attribute g numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
0.992364,1.136963,STAR,-0.367766
0.547318,0.330611,GALAXY,-0.18879
-0.142131,-0.129184,STAR,-0.366722
-1.315706,-1.265375,GALAXY,-0.2489
0.81695,1.062042,STAR,-0.366865
-0.077568,1.357646,STAR,-0.367971
0.679096,0.439235,GALAXY,-0.162025
0.808331,0.372434,GALAXY,-0.153471
0.860574,0.897022,GALAXY,0.013209
0.209832,0.369129,GALAXY,-0.286571
-0.199545,0.572944,QSO,5.68254
0.378207,0.241575,GALAXY,-0.26072
0.241559,0.490636,STAR,-0.368362
0.189002,0.142739,GALAXY,-0.237279
-0.198822,-0.268356,GALAXY,-0.090932
-2.792086,-2.266381,STAR,-0.368196
1.049068,0.458654,GALAXY,-0.109589
0.339465,-0.824127,STAR,-0.367869
-1.816624,-1.718559,GALAXY,-0.296303
1.05031,0.330834,GALAXY,-0.181774
0.526367,-0.429709,GALAXY,-0.068353
1.133834,0.454243,GALAXY,-0.062145
0.618378,0.745797,QSO,0.080365
-1.700204,-1.608393,STAR,-0.369495
-0.243652,1.192168,QSO,3.293186
-0.329395,-0.359751,STAR,-0.367875
-0.845273,-1.061656,STAR,-0.367306
-1.956853,-1.758512,STAR,-0.367781
-3.128861,-3.033343,STAR,-0.368306
0.940338,0.819401,GALAXY,-0.180434
-1.336861,-1.615653,STAR,-0.368392
0.776278,0.863393,GALAXY,-0.088243
-3.371901,-2.705854,GALAXY,-0.31202
0.122342,-0.494321,GALAXY,-0.156513
0.45192,-0.145244,GALAXY,-0.047186
0.835067,0.910531,STAR,-0.367257
1.11433,1.403508,GALAXY,0.158963
-0.033726,-0.987341,STAR,-0.368345
-0.432785,0.845643,QSO,2.307741
0.322299,0.279508,GALAXY,-0.16756
0.140906,0.161339,GALAXY,-0.122225
0.606457,0.374103,GALAXY,-0.055538
-4.513737,-3.921526,GALAXY,-0.352705
-1.846362,-2.075873,GALAXY,-0.241904
-1.463794,-2.038492,GALAXY,-0.264701
0.112626,0.450714,GALAXY,-0.088327
0.203841,-0.594719,GALAXY,-0.07599
1.145081,0.155057,GALAXY,-0.107801
0.252878,0.142335,GALAXY,-0.056346
0.833898,1.921399,QSO,4.190561
0.755882,0.610622,STAR,-0.368945
0.52826,0.377589,STAR,-0.366467
0.620753,-0.250117,GALAXY,-0.127943
0.517086,0.795954,STAR,-0.368151
1.067849,0.756745,GALAXY,-0.1335
0.596488,0.555534,GALAXY,-0.093573
0.369444,0.634972,STAR,-0.368043
-0.456038,-0.272331,STAR,-0.367454
0.683448,0.161498,GALAXY,-0.034085
1.11198,1.321221,STAR,-0.366797
0.85069,0.688955,GALAXY,-0.23326
0.842505,0.397252,GALAXY,-0.006192
-0.563539,-0.23444,STAR,-0.367029
0.866818,1.183995,STAR,-0.369381
0.829944,-0.206965,STAR,-0.367766
0.009079,-0.625637,GALAXY,-0.18467
-0.618024,-1.311844,GALAXY,-0.194815
0.948788,0.126126,GALAXY,-0.198446
0.121739,0.196052,GALAXY,-0.231396
0.56957,0.492666,GALAXY,-0.192917
-0.342619,0.05231,STAR,-0.368739
0.72119,0.547414,GALAXY,-0.195575
0.090458,0.080721,STAR,-0.367257
