@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R9,11'

@attribute ra numeric
@attribute dec numeric
@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute i numeric
@attribute z numeric
@attribute run {id1045,id1302,id756,id752,id1350,id1404,id1345,id1140,id1412,id1334,id1239,id1035,id1231,id745,id1336,id1331,id1402,id308,id1356,id1119,id1411,id727,id1332}
@attribute camcol numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric
@attribute mjd numeric

@data
-2.425203,-0.769888,0.992364,1.136963,1.029298,1.020862,0.987933,id1045,1.411708,STAR,-0.367766,2.419084
-0.070133,1.9878,0.547318,0.330611,0.15902,0.049329,-0.000414,id1302,0.21354,GALAXY,-0.18879,-0.583045
-0.206304,-0.60941,-0.142131,-0.129184,0.367838,0.587816,0.726915,id756,-0.984627,STAR,-0.366722,-0.682918
-0.528181,-0.553643,-1.315706,-1.265375,-1.219867,-1.212127,-1.234489,id756,0.812624,GALAXY,-0.2489,-0.681595
-0.538152,-0.560067,0.81695,1.062042,1.196245,1.250665,1.302663,id756,0.812624,STAR,-0.366865,1.243762
-0.538518,-0.544726,-0.077568,1.357646,1.999051,2.285262,2.581355,id756,1.411708,STAR,-0.367971,1.017561
0.254962,-0.584643,0.679096,0.439235,0.217575,0.097148,-0.008473,id752,0.21354,GALAXY,-0.162025,-0.628682
1.205544,-0.616873,0.808331,0.372434,0.080475,-0.077161,-0.240675,id752,-0.984627,GALAXY,-0.153471,-0.629344
-0.640284,-0.559649,0.860574,0.897022,0.64247,0.438749,0.359978,id756,0.812624,GALAXY,0.013209,-0.604872
0.178052,-0.629207,0.209832,0.369129,0.446288,0.451787,0.474933,id752,-1.583711,GALAXY,-0.286571,-0.606856
-2.523098,-0.798015,-0.199545,0.572944,1.05633,1.135025,1.051175,id1045,1.411708,QSO,5.68254,-0.682256
-0.219422,2.087384,0.378207,0.241575,0.292711,0.266568,0.293107,id1350,1.411708,GALAXY,-0.26072,-0.669028
-0.991635,1.541312,0.241559,0.490636,0.719828,0.791762,0.863807,id1350,0.812624,STAR,-0.368362,0.540025
-0.235714,-0.611126,0.189002,0.142739,0.155724,0.12137,0.131245,id756,-0.984627,GALAXY,-0.237279,-0.682256
0.774195,-0.616598,-0.198822,-0.268356,-0.310081,-0.38435,-0.444905,id752,-0.984627,GALAXY,-0.090932,-0.828427
-1.326837,0.801589,-2.792086,-2.266381,-1.789083,-1.539406,-1.330109,id1350,-0.385544,STAR,-0.368196,0.334327
1.540094,-0.611695,1.049068,0.458654,0.004388,-0.162011,-0.33917,id752,-0.984627,GALAXY,-0.109589,-0.839671
0.536619,-0.543116,0.339465,-0.824127,-1.128931,-1.097251,-1.048233,id1404,1.411708,STAR,-0.367869,1.342312
-0.345901,-0.593055,-1.816624,-1.718559,-1.712535,-1.724045,-1.77577,id756,-0.385544,GALAXY,-0.296303,-0.650509
0.928399,-0.617337,1.05031,0.330834,-0.135027,-0.376939,-0.607436,id752,-0.984627,GALAXY,-0.181774,-0.844963
-0.805555,1.642975,0.526367,-0.429709,-0.854092,-0.905658,-1.098667,id1345,0.812624,GALAXY,-0.068353,-0.682918
-0.016954,-0.588094,1.133834,0.454243,-0.025553,-0.211659,-0.391787,id756,-0.385544,GALAXY,-0.062145,-0.649186
-0.120652,-0.53754,0.618378,0.745797,0.440205,0.208832,0.190081,id756,1.411708,QSO,0.080365,-0.878694
1.041681,-0.615194,-1.700204,-1.608393,-0.906197,-0.581808,-0.387097,id752,-0.984627,STAR,-0.369495,1.342312
0.532633,2.10121,-0.243652,1.192168,1.411041,1.50432,1.60574,id1350,1.411708,QSO,3.293186,-0.630005
0.208465,-0.601191,-0.329395,-0.359751,-0.282597,-0.210455,-0.126839,id752,-0.385544,STAR,-0.367875,0.793344
-0.55098,-0.571159,-0.845273,-1.061656,-0.965186,-0.853794,-0.751677,id756,0.21354,STAR,-0.367306,1.010286
0.210679,-0.721795,-1.956853,-1.758512,-0.888449,-0.477219,-0.253248,id1140,-1.583711,STAR,-0.367781,-0.415048
0.267766,-0.545876,-3.128861,-3.033343,-2.617396,-2.36851,-2.147138,id752,1.411708,STAR,-0.368306,1.075765
-0.261241,-0.606619,0.940338,0.819401,0.705705,0.53473,0.464525,id756,-0.984627,GALAXY,-0.180434,-0.682256
0.516501,2.077637,-1.336861,-1.615653,-1.445049,-1.26799,-1.102505,id1412,0.21354,STAR,-0.368392,1.079733
1.341871,1.508163,0.776278,0.863393,0.807825,0.706234,0.627834,id1345,1.411708,GALAXY,-0.088243,-0.589659
-0.418343,-0.539146,-3.371901,-2.705854,-2.349505,-2.168019,-2.087014,id756,1.411708,GALAXY,-0.31202,-0.62273
0.503824,-0.571927,0.122342,-0.494321,-0.762498,-0.818363,-0.927768,id1334,0.21354,GALAXY,-0.156513,-0.632651
-0.526235,-0.541406,0.45192,-0.145244,-0.575637,-0.718865,-0.877007,id756,1.411708,GALAXY,-0.047186,-0.466637
-0.979543,-0.551931,0.835067,0.910531,1.108341,1.221801,1.288485,id1239,1.411708,STAR,-0.367257,2.51631
0.191575,-0.610609,1.11433,1.403508,1.143405,0.966818,0.872284,id756,-0.984627,GALAXY,0.158963,-0.622068
0.480612,-0.603804,-0.033726,-0.987341,-1.228435,-1.195246,-1.133536,id1334,-0.984627,STAR,-0.368345,1.131985
1.252238,1.618956,-0.432785,0.845643,1.069172,1.324921,1.352237,id1345,1.411708,QSO,2.307741,2.322518
-0.026025,-0.627671,0.322299,0.279508,0.18688,0.079617,0.017735,id756,-1.583711,GALAXY,-0.16756,-0.84827
-0.079213,-0.71796,0.140906,0.161339,0.019943,-0.085979,-0.153816,id1140,-1.583711,GALAXY,-0.122225,-0.37404
