@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-11,14'

@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
STAR,-0.367766
GALAXY,-0.18879
STAR,-0.366722
GALAXY,-0.2489
STAR,-0.366865
STAR,-0.367971
GALAXY,-0.162025
GALAXY,-0.153471
GALAXY,0.013209
GALAXY,-0.286571
QSO,5.68254
GALAXY,-0.26072
STAR,-0.368362
GALAXY,-0.237279
GALAXY,-0.090932
STAR,-0.368196
GALAXY,-0.109589
STAR,-0.367869
GALAXY,-0.296303
GALAXY,-0.181774
GALAXY,-0.068353
GALAXY,-0.062145
QSO,0.080365
STAR,-0.369495
QSO,3.293186
STAR,-0.367875
STAR,-0.367306
STAR,-0.367781
STAR,-0.368306
GALAXY,-0.180434
STAR,-0.368392
GALAXY,-0.088243
GALAXY,-0.31202
GALAXY,-0.156513
GALAXY,-0.047186
STAR,-0.367257
GALAXY,0.158963
STAR,-0.368345
QSO,2.307741
GALAXY,-0.16756
GALAXY,-0.122225
GALAXY,-0.055538
GALAXY,-0.352705
GALAXY,-0.241904
GALAXY,-0.264701
GALAXY,-0.088327
GALAXY,-0.07599
GALAXY,-0.107801
GALAXY,-0.056346
QSO,4.190561
STAR,-0.368945
STAR,-0.366467
GALAXY,-0.127943
STAR,-0.368151
GALAXY,-0.1335
GALAXY,-0.093573
STAR,-0.368043
STAR,-0.367454
GALAXY,-0.034085
STAR,-0.366797
GALAXY,-0.23326
GALAXY,-0.006192
STAR,-0.367029
STAR,-0.369381
STAR,-0.367766
GALAXY,-0.18467
GALAXY,-0.194815
GALAXY,-0.198446
GALAXY,-0.231396
GALAXY,-0.192917
STAR,-0.368739
GALAXY,-0.195575
STAR,-0.367257
GALAXY,-0.147888
GALAXY,-0.252646
GALAXY,-0.350912
STAR,-0.368348
GALAXY,-0.115257
STAR,-0.370802
GALAXY,-0.177182
STAR,-0.367785
GALAXY,-0.248893
STAR,-0.367925
STAR,-0.367857
GALAXY,-0.28392
GALAXY,-0.125368
STAR,-0.366244
QSO,3.437269
STAR,-0.368034
GALAXY,-0.036063
GALAXY,-0.059979
STAR,-0.367777
STAR,-0.368298
GALAXY,-0.139925
GALAXY,-0.199598
GALAXY,-0.14136
STAR,-0.368155
QSO,4.439296
GALAXY,-0.087785
GALAXY,-0.277477
STAR,-0.369668
GALAXY,-0.239661
GALAXY,-0.128547
STAR,-0.367541
GALAXY,0.0004
STAR,-0.366749
STAR,-0.367907
GALAXY,-0.080079
STAR,-0.366958
QSO,4.341702
STAR,-0.367562
GALAXY,-0.263195
STAR,-0.367673
STAR,-0.367961
STAR,-0.36809
GALAXY,-0.155361
STAR,-0.367943
GALAXY,-0.246627
GALAXY,-0.3187
STAR,-0.366284
GALAXY,-0.028572
STAR,-0.367201
GALAXY,-0.19413
GALAXY,-0.167286
STAR,-0.368965
GALAXY,-0.19262
GALAXY,-0.159831
STAR,-0.36806
QSO,0.053891
STAR,-0.368562
STAR,-0.368017
GALAXY,-0.259671
STAR,-0.36801
GALAXY,-0.241758
GALAXY,-0.186513
STAR,-0.36697
GALAXY,-0.238998
GALAXY,-0.033374
GALAXY,-0.179762
QSO,3.325561
GALAXY,-0.319539
GALAXY,-0.226218
GALAXY,-0.311853
GALAXY,-0.115311
GALAXY,-0.22975
GALAXY,-0.284683
STAR,-0.366472
GALAXY,-0.084264
GALAXY,-0.119026
GALAXY,-0.016189
GALAXY,-0.299443
STAR,-0.366283
STAR,-0.36737
GALAXY,-0.016325
GALAXY,0.029118
GALAXY,-0.03867
STAR,-0.367766
STAR,-0.371441
QSO,0.133349
STAR,-0.368228
GALAXY,-0.168554
GALAXY,-0.246919
GALAXY,-0.180357
STAR,-0.367852
GALAXY,-0.143691
STAR,-0.369496
STAR,-0.368888
STAR,-0.36847
GALAXY,-0.218793
GALAXY,-0.053778
STAR,-0.368754
STAR,-0.367789
GALAXY,-0.037506
GALAXY,-0.073514
GALAXY,-0.300477
GALAXY,-0.19328
STAR,-0.367345
STAR,-0.367748
GALAXY,-0.159757
GALAXY,-0.276774
STAR,-0.36808
STAR,-0.367494
STAR,-0.368031
STAR,-0.367862
STAR,-0.367204
GALAXY,-0.184794
GALAXY,-0.209975
GALAXY,-0.157863
GALAXY,-0.117442
STAR,-0.369613
STAR,-0.36786
GALAXY,-0.026586
STAR,-0.367778
GALAXY,-0.230477
STAR,-0.368304
GALAXY,-0.080485
STAR,-0.368052
STAR,-0.370382
GALAXY,-0.277112
QSO,4.101276
GALAXY,-0.354123
GALAXY,-0.133397
