@relation 'table-weka.filters.unsupervised.attribute.Remove-R1,13,16,18-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0'

@attribute ra numeric
@attribute dec numeric
@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute i numeric
@attribute z numeric
@attribute run numeric
@attribute rerun numeric
@attribute camcol numeric
@attribute field numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric
@attribute mjd numeric

@data
199.025788,-0.040485,19.13297,17.83768,17.31411,17.0825,16.9641,1334,301,3,16,STAR,-0.000416,56727
19.403822,14.217851,18.15584,16.04316,15.10979,14.71306,14.46588,1035,301,3,91,GALAXY,0.052147,51821
187.045678,-3.423643,18.66327,17.222,16.54503,16.16945,15.94752,1140,301,1,228,GALAXY,0.062771,51993
55.430786,-5.160762,18.14164,16.54978,15.96036,15.76024,15.67016,1045,301,6,144,STAR,0.000073,53401
122.514842,45.483128,19.59841,18.9059,18.77595,18.6661,18.61536,1331,301,5,130,QSO,2.744596,55274
190.16203,-0.215738,19.02118,17.72771,17.22622,17.02374,16.94107,752,301,3,311,STAR,0.000207,54567
27.331388,13.253739,19.26713,17.34803,16.48267,16.10507,15.88465,1035,301,2,143,STAR,0.000081,53260
173.787853,-0.177688,17.44034,16.35035,16.01368,15.8917,15.87978,756,301,3,387,STAR,-0.000063,54523
181.678413,-0.990588,19.52757,18.21685,17.52084,17.12317,16.88836,756,301,1,440,GALAXY,0.129615,51999
152.003467,0.356476,18.06429,17.25112,17.04613,16.90485,16.76747,756,301,4,242,GALAXY,0.031552,51910
139.497495,0.611639,19.48655,17.70649,16.75309,16.29916,15.94671,1239,301,5,128,GALAXY,0.091586,51955
155.692639,1.213797,19.41738,18.19569,17.62483,17.26997,17.04563,756,301,6,266,GALAXY,0.073298,51999
257.532384,57.118092,19.05638,18.98576,18.82571,18.85023,18.84306,1336,301,1,63,QSO,1.034656,51788
185.706535,1.046602,18.95415,17.11385,16.35103,16.03797,15.83771,752,301,6,281,STAR,0.000664,54140
164.353568,0.781745,19.40763,17.58533,16.63974,16.2109,15.85421,756,301,5,324,GALAXY,0.085057,51909
205.924532,67.031802,16.32949,16.83253,17.42512,17.81252,18.1358,1350,301,6,423,STAR,-0.000224,56717
162.466644,-0.123452,18.76744,17.77106,17.47652,17.34718,17.31581,756,301,3,311,STAR,-0.000028,54208
130.692527,51.332803,19.50854,18.1126,17.44901,17.1271,16.84752,1345,301,3,158,GALAXY,0.09727,51873
170.579965,-0.144642,18.95483,17.6873,17.0833,16.7225,16.51023,756,301,3,366,GALAXY,0.068044,51614
164.320781,-0.613997,18.77473,17.50287,17.00204,16.71657,16.57352,756,301,2,324,GALAXY,0.05053,51909
173.357833,-1.474741,17.35156,17.37521,17.60592,17.79112,17.96544,1231,301,6,27,QSO,5.353854,55574
59.565576,-4.726034,17.95373,16.34397,15.65938,15.39923,15.2676,1045,301,6,171,STAR,0.000206,56598
231.943891,57.300356,17.76064,16.56186,15.97689,15.61159,15.38773,1345,301,6,517,GALAXY,0.071413,52347
179.001633,-0.103675,18.42468,17.05843,16.39986,16.03678,15.79336,756,301,3,422,GALAXY,0.064768,51943
119.136565,44.083355,19.1421,18.15445,17.71445,17.44449,17.28073,1350,301,3,96,GALAXY,0.049401,51883
151.635296,0.336511,18.9539,17.22803,16.37891,15.94198,15.62841,756,301,4,239,GALAXY,0.089243,51910
150.931061,0.704674,18.74585,17.16286,16.40765,16.01444,15.72605,756,301,5,234,GALAXY,0.032291,51910
170.733121,64.580188,18.61369,17.37061,16.83439,16.61617,16.51832,1302,301,4,336,STAR,-0.000375,54942
145.637275,0.373311,19.20753,17.87736,17.30583,17.08623,16.96132,756,301,4,199,STAR,-0.000035,51630
230.488677,-0.708905,18.5641,17.43921,17.01732,16.84766,16.77374,752,301,2,581,STAR,-0.000335,51673
245.338114,48.731683,19.54578,18.1123,17.44103,17.08921,16.86497,1345,301,6,596,GALAXY,0.091516,52145
