@relation 'output-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R1-3,5,8-9,15-19-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S100'

@attribute Rainfall numeric
@attribute Sunshine numeric
@attribute WindGustSpeed numeric
@attribute Humidity9am numeric
@attribute Humidity3pm numeric
@attribute Pressure9am numeric
@attribute Cloud9am numeric
@attribute Cloud3pm numeric
@attribute RainTomorrow {No,Yes}

@data
0,13.6,30,62,21,1014.4,0,0,No
0,11,41,69,52,1020.8,7,4,No
0,3.5,31,61,38,1026.7,2,7,No
2.2,11.9,56,58,28,1024.4,1,1,No
0,6.6,39,57,55,1026.8,6,6,No
0.4,0,30,92,82,1023.4,7,7,No
0,8.6,76,22,17,1013,1,3,No
0,8.9,15,84,48,1030.4,1,1,No
0,10.5,28,63,46,1015.1,0,1,No
0,11,37,60,33,1016.1,1,3,No
0.4,5.8,37,74,42,1019,0,7,No
0,8.4,35,83,72,1013.6,5,3,No
0,5.8,30,76,69,1022.3,2,5,No
0,10.4,39,41,39,1015.5,4,3,No
0,12.5,46,47,49,1013.1,6,2,No
0,10.6,43,81,48,1014.5,3,3,No
0,7.5,20,99,64,1033,3,3,No
0,10.5,48,50,23,1014.9,1,1,No
0,9.7,30,76,60,1017.1,1,0,No
0,8.2,41,57,59,1007,2,6,No
0.6,9,39,65,55,1022.1,7,1,No
7,11.2,43,68,50,1012.3,3,2,No
0,11.8,46,72,22,1017.4,1,1,No
0,9.6,15,73,41,1024.2,1,1,No
0,11,35,48,61,1014.6,1,2,No
1.4,5.6,48,68,49,1030.4,8,7,No
0,6.5,17,79,57,1023.7,4,3,No
0,9.9,30,41,22,1016,4,6,No
0,10.5,24,77,46,1014.6,3,1,No
0,9.7,35,52,34,1021.7,6,3,No
0,10.8,30,67,46,1013.8,4,4,No
0,7.5,31,77,52,1024.8,6,5,No
0,6.6,19,86,62,1037.9,5,7,No
0,11.9,48,54,54,1011.4,2,1,No
0.2,5.7,35,87,64,1025.2,2,4,No
0,12.4,33,54,46,1013.7,4,1,No
0,6.8,30,65,51,1019.5,7,1,No
0,10.2,44,72,71,1013.4,2,5,No
0.2,1,13,91,70,1018.4,7,7,No
0,12.1,52,64,35,1016.2,1,1,No
0.4,5.3,26,97,74,1031.3,1,7,No
0,10.2,44,64,26,1025.7,2,5,No
0,2.9,69,16,16,1009.3,7,7,No
0,10.9,33,49,18,1028.7,1,3,No
0.6,10.3,48,100,52,1024.7,1,1,No
0,11.8,41,54,58,1014.2,3,3,No
0,7.2,56,55,52,1014.8,2,7,No
0,11.1,39,59,41,1026.9,0,5,No
0,7.2,33,68,57,1019.2,7,7,No
0,4.6,20,100,78,1029.6,8,2,No
0,6.8,30,88,42,1026.9,6,5,No
2.2,6.8,37,80,78,1017.5,3,7,No
0,7.5,41,74,48,1016.5,7,6,No
0,9.7,41,74,49,1012.6,3,6,No
0,8.3,31,88,52,1010.9,7,7,No
0,7.9,46,62,48,1018,1,6,No
0,6.1,44,79,34,1024.6,7,4,No
0,7.1,50,74,52,1008.2,2,7,No
0,8,57,37,28,1009.6,5,7,No
0,8.9,33,79,52,1014.3,7,1,No
