@relation 'output-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R1-3,5,7-10,13,15-19'

@attribute Rainfall numeric
@attribute Sunshine numeric
@attribute Humidity3pm numeric
@attribute Pressure9am numeric
@attribute Cloud3pm numeric
@attribute RainTomorrow {No,Yes}

@data
2.8,0.6,65,1022.4,8,No
0,12.2,18,1021.2,0,No
0,12.8,41,1007.6,2,No
0,9.6,16,1018.8,3,No
3.8,6.3,66,1028.7,4,No
0,0.7,39,1018.3,7,No
0,10.3,59,1018.7,5,No
2.8,1.1,80,1009.2,7,Yes
0,10.1,24,1028.5,0,No
0,3.9,72,1022.9,7,No
11.2,13.4,38,1018.8,3,No
7,4.5,87,1006.7,8,Yes
0,13.2,31,1022.2,1,No
0,4.4,45,1023.7,7,No
0,4.9,66,1007,7,No
12.2,12.7,53,1021.2,2,No
0,12.7,41,1023.7,1,No
0,10.1,11,1019.8,5,No
0,7.5,36,1028.1,4,No
0,10.9,20,1016.5,2,No
0,11.4,31,1016.7,1,No
7.4,2.5,58,1013.7,7,No
0,7.9,48,1018,6,No
0,7,46,1018.7,5,No
0,1.1,33,1017.3,8,Yes
10.8,7.3,54,1026.5,6,No
8.8,1.8,79,1011.4,7,Yes
0,13.1,30,1021.4,0,No
24.2,0,86,1005.4,8,Yes
0,8.9,37,1022.4,6,No
0,13,34,1012.1,2,No
0,7.2,61,1019.4,6,Yes
0,11.4,13,1016.8,6,No
1.8,9.1,80,1016.6,7,No
0,9.8,45,1025.1,1,No
0,10.1,29,1014.9,1,No
0,9.6,28,1013.3,0,No
0,12,25,1013.7,1,No
0,12.6,34,1019.4,7,No
9.4,5.6,76,1022.5,7,No
2,11.3,64,1017.9,8,No
0,2.9,69,1021.4,7,Yes
0,11,11,1017.7,2,No
0,9.3,64,1022.2,5,No
0,1.8,49,998.1,7,Yes
0,11.9,40,1016.1,3,No
0,10.5,17,1029.5,4,No
5.2,0,95,1013.3,7,Yes
0.6,4.8,58,1004.6,6,Yes
0,10.2,51,1017,1,No
0.6,8.3,31,1011.5,4,No
0,7,54,1029.9,7,No
0,10.6,21,1016.8,1,No
0,2,58,1025.6,7,No
2.6,10.5,64,1015.5,2,No
3.2,1.8,81,1011.6,7,Yes
0,10.4,36,1029.8,3,No
0.4,6.1,58,1030.6,7,No
0,7.7,62,1021.2,5,Yes
0.4,8.4,55,1015.7,5,No
0,10,35,1021,5,No
0,10.8,56,1013.7,3,No
0,4.5,59,1022.9,7,No
0.2,9.3,56,1024,3,No
0.6,9.7,53,1023.7,1,No
0,11,49,1018.4,1,No
0,10.6,46,1026.9,3,No
0,6.6,41,1013.8,6,No
0,9.6,37,1012.1,2,No
0,3.1,50,1010.3,6,Yes
0,10.5,63,1020.1,1,No
0,11,38,1021.2,1,No
0,10,64,1021.8,6,No
0.4,9,70,1011.6,6,No
3.4,6.3,58,1010.9,7,Yes
0,10.9,20,1012.6,1,No
0,10.5,40,1024.5,1,No
0,7.2,85,1017.6,6,Yes
0,11.8,48,1013.2,7,No
0,10,3,1009.2,1,No
3.6,4.9,58,1020.3,7,Yes
0,9.6,71,1027.8,2,No
0.2,6.2,59,1017.5,7,No
0,11,42,1017.6,0,No
0,11,12,1019.7,1,No
2.4,5.6,44,1018.4,3,No
0.6,9.4,26,1020.6,5,No
0,13,15,1009.5,0,No
0.2,6.7,72,1015,7,No
0,12.2,33,1024.8,0,No
0,10.2,57,1021.9,3,No
3.4,2.3,72,1011.7,7,Yes
1.2,1.9,65,1007.5,7,No
7.2,6,80,1002.5,7,Yes
0,1.2,69,1018.5,7,No
0,13.1,17,1023.6,0,No
0,10.4,62,1016.4,2,No
0,0.5,85,1005.5,7,Yes
0.2,8.6,56,1020.3,1,No
0,10.7,29,1015.8,6,No
0,9.6,44,1023.8,0,No
