@relation 'output-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R1,3-5,8-10,12-15,17-19'

@attribute Location {Cobar,CoffsHarbour,Moree,NorfolkIsland,Sydney,SydneyAirport,WaggaWagga,Williamtown,Canberra,Sale,MelbourneAirport,Melbourne,Mildura,Portland,Watsonia,Brisbane,Cairns,Townsville,MountGambier,Nuriootpa,Woomera,PerthAirport,Perth,Hobart,AliceSprings,Darwin}
@attribute Sunshine {'\'(-inf-0.15]\'','\'(0.15-1.55]\'','\'(1.55-4.35]\'','\'(4.35-6.05]\'','\'(6.05-7.75]\'','\'(7.75-8.95]\'','\'(8.95-9.85]\'','\'(9.85-10.55]\'','\'(10.55-12.25]\'','\'(12.25-inf)\''}
@attribute WindGustSpeed {'\'(-inf-34]\'','\'(34-42]\'','\'(42-49]\'','\'(49-58]\'','\'(58-66]\'','\'(66-inf)\''}
@attribute Humidity3pm {'\'(-inf-13.5]\'','\'(13.5-27.5]\'','\'(27.5-42.5]\'','\'(42.5-52.5]\'','\'(52.5-57.5]\'','\'(57.5-60.5]\'','\'(60.5-64.5]\'','\'(64.5-69.5]\'','\'(69.5-73.5]\'','\'(73.5-78.5]\'','\'(78.5-81.5]\'','\'(81.5-88.5]\'','\'(88.5-inf)\''}
@attribute WindGustDirSin {'\'(-inf-0.7865]\'','\'(0.7865-inf)\''}
@attribute RainTomorrow {No,Yes}

@data
MountGambier,'\'(0.15-1.55]\'','\'(34-42]\'','\'(64.5-69.5]\'','\'(-inf-0.7865]\'',No
PerthAirport,'\'(10.55-12.25]\'','\'(49-58]\'','\'(13.5-27.5]\'','\'(-inf-0.7865]\'',No
Perth,'\'(12.25-inf)\'','\'(-inf-34]\'','\'(27.5-42.5]\'','\'(-inf-0.7865]\'',No
Woomera,'\'(8.95-9.85]\'','\'(34-42]\'','\'(13.5-27.5]\'','\'(-inf-0.7865]\'',No
SydneyAirport,'\'(6.05-7.75]\'','\'(34-42]\'','\'(64.5-69.5]\'','\'(-inf-0.7865]\'',No
SydneyAirport,'\'(0.15-1.55]\'','\'(42-49]\'','\'(27.5-42.5]\'','\'(-inf-0.7865]\'',No
Townsville,'\'(9.85-10.55]\'','\'(34-42]\'','\'(57.5-60.5]\'','\'(-inf-0.7865]\'',No
SydneyAirport,'\'(0.15-1.55]\'','\'(42-49]\'','\'(78.5-81.5]\'','\'(-inf-0.7865]\'',Yes
Moree,'\'(9.85-10.55]\'','\'(-inf-34]\'','\'(13.5-27.5]\'','\'(-inf-0.7865]\'',No
Sydney,'\'(1.55-4.35]\'','\'(-inf-34]\'','\'(69.5-73.5]\'','\'(0.7865-inf)\'',No
Melbourne,'\'(12.25-inf)\'','\'(34-42]\'','\'(27.5-42.5]\'','\'(-inf-0.7865]\'',No
Townsville,'\'(4.35-6.05]\'','\'(42-49]\'','\'(81.5-88.5]\'','\'(0.7865-inf)\'',Yes
PerthAirport,'\'(12.25-inf)\'','\'(34-42]\'','\'(27.5-42.5]\'','\'(-inf-0.7865]\'',No
