@relation 'output-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R1-12,14-23,25-29,31,33-43,45-47'

@attribute Location=Canberra numeric
@attribute Location=Nuriootpa numeric
@attribute Location=Darwin numeric
@attribute Rainfall numeric
@attribute WindGustDirSin numeric
@attribute RainTomorrow {No,Yes}

@data
0,0,0,2.8,-0.707,No
0,0,0,0,-0.5,No
0,0,0,0,-0.866,No
0,0,0,0,0.707,No
0,0,0,3.8,-0.866,No
0,0,0,0,-0.5,No
0,0,0,0,0.707,No
0,0,0,2.8,-0.5,Yes
0,0,0,0,-0.866,No
0,0,0,0,0.866,No
0,0,0,11.2,0,No
0,0,0,7,0.866,Yes
0,0,0,0,0,No
0,1,0,0,0.5,No
0,0,0,0,0.707,No
0,0,0,12.2,0,No
0,0,0,0,-1,No
0,0,0,0,0.707,No
0,0,0,0,0.5,No
0,0,0,0,1,No
0,0,0,0,0,No
0,0,1,7.4,0.866,No
0,0,0,0,0,No
0,0,0,0,0,No
0,0,0,0,1,Yes
0,0,0,10.8,0,No
0,0,0,8.8,-0.866,Yes
0,0,0,0,-0.707,No
0,0,0,24.2,-1,Yes
0,0,0,0,0,No
0,0,0,0,-1,No
0,0,0,0,0,Yes
0,0,0,0,-1,No
0,0,0,1.8,0.707,No
0,0,0,0,-0.866,No
0,0,0,0,-0.707,No
0,0,0,0,0.707,No
0,0,0,0,0.866,No
0,0,0,0,0.866,No
0,0,0,9.4,-0.5,No
0,0,0,2,-1,No
0,0,0,0,-0.866,Yes
0,0,1,0,-0.5,No
0,0,0,0,-0.5,No
0,0,0,0,-0.866,Yes
0,0,0,0,0,No
0,0,0,0,0.866,No
0,0,0,5.2,-0.5,Yes
0,0,0,0.6,0,Yes
0,0,0,0,0.707,No
0,0,0,0.6,-0.5,No
0,0,0,0,1,No
0,0,0,0,-1,No
0,0,0,0,0.707,No
0,0,0,2.6,-0.707,No
0,0,0,3.2,0.707,Yes
0,0,0,0,1,No
0,0,0,0.4,-0.866,No
0,0,0,0,0,Yes
0,0,0,0.4,0,No
0,0,0,0,-1,No
0,0,0,0,-0.707,No
0,0,0,0,-0.707,No
0,0,0,0.2,0.707,No
0,0,0,0.6,-0.707,No
0,0,0,0,-0.866,No
0,0,0,0,0,No
0,0,0,0,0.866,No
0,0,0,0,0,No
0,0,0,0,0.707,Yes
0,0,0,0,0.707,No
0,0,0,0,-0.707,No
0,0,0,0,-0.707,No
0,0,0,0.4,0.5,No
0,0,1,3.4,-0.866,Yes
0,0,0,0,-0.866,No
0,0,0,0,1,No
0,0,0,0,-0.866,Yes
0,0,0,0,-0.5,No
0,0,0,0,-1,No
0,0,0,3.6,0.866,Yes
0,0,0,0,-0.866,No
0,0,0,0.2,-0.5,No
0,0,0,0,0.707,No
0,0,0,0,0.707,No
0,0,0,2.4,-0.707,No
0,1,0,0.6,-0.5,No
0,1,0,0,0.707,No
0,0,0,0.2,0.866,No
0,0,0,0,-0.707,No
0,0,0,0,0.707,No
0,0,0,3.4,-0.707,Yes
1,0,0,1.2,0.5,No
0,0,0,7.2,-0.707,Yes
0,0,0,0,-0.866,No
0,0,0,0,-0.5,No
0,0,0,0,0.707,No
0,0,0,0,1,Yes
0,0,0,0.2,0,No
0,0,0,0,-0.707,No
0,1,0,0,0,No
0,0,0,19.6,0,No
0,0,1,18.2,0,Yes
0,0,0,6.8,0.707,Yes
0,0,0,7.6,-0.707,No
0,0,0,0,0.707,No
1,0,0,0,0,No
0,0,0,3.8,-0.866,Yes
0,0,0,94.4,0.5,Yes
0,0,0,38.6,-0.707,No
0,0,0,0.2,-0.707,No
0,0,0,0.6,-0.5,No
0,0,0,0,-1,No
0,0,0,0,0,No
0,0,0,0,0.866,No
0,0,0,1.4,0,Yes
0,0,0,0,0.5,No
0,0,0,0,-1,No
0,0,0,8.2,0,Yes
0,0,0,0.2,0.707,No
0,0,0,0.8,0.866,No
0,0,0,0,-0.707,Yes
0,0,0,0.4,-0.707,No
0,0,0,0,0.866,Yes
0,0,1,2.4,-1,Yes
0,0,0,54.8,1,Yes
0,0,0,0,-0.5,No
0,0,1,1.6,0.707,Yes
0,0,0,0,1,No
0,0,1,0,0.866,No
0,0,0,0,0.866,No
0,0,0,0,0.866,No
0,0,0,0,-0.866,No
0,0,0,0,0,No
0,0,0,4.8,-0.707,No
0,0,0,0,-0.5,Yes
0,0,0,0,0,No
0,0,0,0,-0.707,No
0,0,0,0.4,0.5,Yes
0,0,1,0,0.707,No
0,0,0,0,0.707,No
0,1,0,0,-0.707,No
0,0,0,1,-1,Yes
0,0,0,34.2,-0.5,Yes
1,0,0,0,-1,No
1,0,0,0.8,-1,No
0,0,0,0,0,No
0,0,0,14.2,-0.866,Yes
0,0,0,0,1,Yes
0,0,0,0.2,-0.707,No
0,0,0,0,-1,No
0,0,0,0,-0.866,No
0,0,0,0,1,No
0,0,0,0,0.866,Yes
0,0,0,0.4,0,No
0,0,0,0,0,No
0,0,0,0,-0.707,No
0,0,0,0,-0.707,Yes
