@relation 'output-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R3,5,9,13,15-19'

@attribute Season {winter,spring,summer,autumn}
@attribute Location {Cobar,CoffsHarbour,Moree,NorfolkIsland,Sydney,SydneyAirport,WaggaWagga,Williamtown,Canberra,Sale,MelbourneAirport,Melbourne,Mildura,Portland,Watsonia,Brisbane,Cairns,Townsville,MountGambier,Nuriootpa,Woomera,PerthAirport,Perth,Hobart,AliceSprings,Darwin}
@attribute Rainfall numeric
@attribute Sunshine numeric
@attribute WindGustSpeed numeric
@attribute WindSpeed9am numeric
@attribute Humidity9am numeric
@attribute Humidity3pm numeric
@attribute Pressure9am numeric
@attribute Cloud3pm numeric
@attribute RainTomorrow {No,Yes}

@data
spring,MountGambier,2.8,0.6,41,20,83,65,1022.4,8,No
winter,PerthAirport,0,12.2,56,35,42,18,1021.2,0,No
winter,Perth,0,12.8,33,11,54,41,1007.6,2,No
spring,Woomera,0,9.6,39,11,31,16,1018.8,3,No
summer,SydneyAirport,3.8,6.3,37,15,80,66,1028.7,4,No
spring,SydneyAirport,0,0.7,46,13,63,39,1018.3,7,No
summer,Townsville,0,10.3,41,11,56,59,1018.7,5,No
summer,SydneyAirport,2.8,1.1,48,15,87,80,1009.2,7,Yes
summer,Moree,0,10.1,30,9,61,24,1028.5,0,No
summer,Sydney,0,3.9,30,7,85,72,1022.9,7,No
autumn,Melbourne,11.2,13.4,37,17,58,38,1018.8,3,No
winter,Townsville,7,4.5,46,13,83,87,1006.7,8,Yes
autumn,PerthAirport,0,13.2,39,24,37,31,1022.2,1,No
summer,Nuriootpa,0,4.4,22,11,79,45,1023.7,7,No
autumn,Hobart,0,4.9,46,19,61,66,1007,7,No
autumn,Brisbane,12.2,12.7,31,7,59,53,1021.2,2,No
winter,WaggaWagga,0,12.7,24,6,66,41,1023.7,1,No
winter,Mildura,0,10.1,30,11,26,11,1019.8,5,No
summer,Woomera,0,7.5,17,6,81,36,1028.1,4,No
spring,AliceSprings,0,10.9,33,11,30,20,1016.5,2,No
winter,Mildura,0,11.4,48,17,55,31,1016.7,1,No
autumn,Darwin,7.4,2.5,28,6,81,58,1013.7,7,No
spring,Townsville,0,7.9,46,20,62,48,1018,6,No
summer,SydneyAirport,0,7,39,17,82,46,1018.7,5,No
spring,MountGambier,0,1.1,59,37,36,33,1017.3,8,Yes
summer,Sydney,10.8,7.3,33,17,88,54,1026.5,6,No
spring,SydneyAirport,8.8,1.8,83,52,76,79,1011.4,7,Yes
winter,Perth,0,13.1,39,15,44,30,1021.4,0,No
winter,AliceSprings,24.2,0,35,15,92,86,1005.4,8,Yes
spring,AliceSprings,0,8.9,26,7,55,37,1022.4,6,No
autumn,Woomera,0,13,44,15,62,34,1012.1,2,No
spring,Brisbane,0,7.2,30,7,69,61,1019.4,6,Yes
winter,MelbourneAirport,0,11.4,46,11,29,13,1016.8,6,No
winter,NorfolkIsland,1.8,9.1,50,28,81,80,1016.6,7,No
summer,Perth,0,9.8,17,2,82,45,1025.1,1,No
spring,AliceSprings,0,10.1,48,11,50,29,1014.9,1,No
autumn,Townsville,0,9.6,37,7,37,28,1013.3,0,No
autumn,Mildura,0,12,26,7,60,25,1013.7,1,No
winter,MountGambier,0,12.6,30,9,79,34,1019.4,7,No
spring,Watsonia,9.4,5.6,26,13,96,76,1022.5,7,No
winter,Portland,2,11.3,35,19,66,64,1017.9,8,No
summer,Watsonia,0,2.9,31,7,86,69,1021.4,7,Yes
summer,Darwin,0,11,48,26,24,11,1017.7,2,No
winter,Williamtown,0,9.3,37,7,83,64,1022.2,5,No
winter,Watsonia,0,1.8,30,2,70,49,998.1,7,Yes
winter,Moree,0,11.9,48,22,58,40,1016.1,3,No
summer,Perth,0,10.5,30,13,39,17,1029.5,4,No
spring,WaggaWagga,5.2,0,20,9,99,95,1013.3,7,Yes
spring,Watsonia,0.6,4.8,63,19,68,58,1004.6,6,Yes
autumn,Townsville,0,10.2,28,17,61,51,1017,1,No
summer,Sydney,0.6,8.3,44,13,62,31,1011.5,4,No
summer,MelbourneAirport,0,7,24,9,70,54,1029.9,7,No
spring,AliceSprings,0,10.6,37,7,54,21,1016.8,1,No
spring,Watsonia,0,2,46,9,73,58,1025.6,7,No
spring,Cairns,2.6,10.5,39,17,77,64,1015.5,2,No
winter,Townsville,3.2,1.8,31,9,84,81,1011.6,7,Yes
summer,Moree,0,10.4,41,17,71,36,1029.8,3,No
summer,MelbourneAirport,0.4,6.1,33,9,87,58,1030.6,7,No
spring,WaggaWagga,0,7.7,15,11,82,62,1021.2,5,Yes
summer,Watsonia,0.4,8.4,56,22,70,55,1015.7,5,No
summer,Moree,0,10,33,17,65,35,1021,5,No
winter,SydneyAirport,0,10.8,43,11,72,56,1013.7,3,No
spring,Perth,0,4.5,28,9,94,59,1022.9,7,No
summer,WaggaWagga,0.2,9.3,19,2,93,56,1024,3,No
autumn,Perth,0.6,9.7,26,11,57,53,1023.7,1,No
summer,Cairns,0,11,31,19,66,49,1018.4,1,No
summer,WaggaWagga,0,10.6,26,13,70,46,1026.9,3,No
summer,WaggaWagga,0,6.6,48,9,69,41,1013.8,6,No
autumn,Mildura,0,9.6,41,20,70,37,1012.1,2,No
spring,Hobart,0,3.1,54,30,61,50,1010.3,6,Yes
summer,Townsville,0,10.5,33,17,66,63,1020.1,1,No
summer,Cairns,0,11,43,17,51,38,1021.2,1,No
winter,Portland,0,10,35,9,76,64,1021.8,6,No
autumn,Cairns,0.4,9,28,7,66,70,1011.6,6,No
winter,Darwin,3.4,6.3,50,9,82,58,1010.9,7,Yes
autumn,Woomera,0,10.9,57,22,66,20,1012.6,1,No
summer,Sydney,0,10.5,31,15,62,40,1024.5,1,No
autumn,SydneyAirport,0,7.2,44,11,55,85,1017.6,6,Yes
