Administrative_Duration,Informational_Duration,ProductRelated_Duration,ExitRates,PageValues,SpecialDay,Weekend,Index
0.0,0.0,649.25,0.02,0.0,0.0,0.0,93
1005.67,0.0,2111.34,0.01,11.44,0.0,0.0,76
2720.5,353.4,5943.55,0.04,0.0,0.0,0.0,5776
2407.42,434.3,23050.1,0.01,0.0,0.0,0.0,6165
1652.0,0.0,446.38,0.01,0.0,0.0,0.0,8368
0.0,0.0,784.88,0.0,360.95,0.0,0.0,8635
0.0,225.77,9630.21,0.07,0.0,0.0,0.0,5679
2657.32,1949.17,29970.47,0.03,0.0,0.0,0.0,9238
2629.25,2050.43,43171.23,0.02,0.76,0.0,1.0,5152
3398.75,2549.37,63973.52,0.03,0.0,0.0,0.0,8071
0.0,0.0,1107.92,0.01,226.68,0.0,0.0,12108
504.25,1665.07,8768.48,0.03,1.83,0.0,0.0,7925
