@relation 'online_shoppers_intention-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.NumericToNominal-R12,13,14,15-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0'

@attribute Administrative numeric
@attribute Administrative_Duration numeric
@attribute Informational numeric
@attribute Informational_Duration numeric
@attribute ProductRelated numeric
@attribute ProductRelated_Duration numeric
@attribute BounceRates numeric
@attribute ExitRates numeric
@attribute PageValues numeric
@attribute SpecialDay numeric
@attribute Month {Feb,Mar,May,Oct,June,Jul,Aug,Nov,Sep,Dec}
@attribute OperatingSystems {1,2,3,4,5,6,7,8}
@attribute Browser {1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Region {1,2,3,4,5,6,7,8,9}
@attribute TrafficType {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}
@attribute VisitorType {Returning_Visitor,New_Visitor,Other}
@attribute Weekend {FALSE,TRUE}

@data
6,60.136364,2,522.166667,83,3708.383949,0.00242,0.012548,0,0,Nov,2,2,7,2,Returning_Visitor,TRUE
9,399.8,5,923.9,115,7243.649316,0.003226,0.018929,3.58544,0,Aug,2,2,8,4,Returning_Visitor,FALSE
1,34.5,0,0,24,819.15,0,0.001449,0,0,Dec,1,1,2,2,Returning_Visitor,FALSE
2,124,1,9,109,3731.138116,0.004861,0.015245,0,0.2,May,1,1,3,4,Returning_Visitor,FALSE
1,0,0,0,4,334,0.08,0.116,0,0,May,1,1,3,1,Returning_Visitor,TRUE
0,0,0,0,27,1433.71256,0.021937,0.062114,0,0,Nov,2,4,3,2,Returning_Visitor,FALSE
0,0,0,0,7,723,0,0.028571,32.906118,0,Dec,2,2,4,1,Returning_Visitor,TRUE
7,261.5,0,0,117,3484.269118,0.0025,0.014375,0,0,Dec,2,2,6,1,Returning_Visitor,FALSE
4,106,0,0,6,180.416667,0,0.025,0,0,Nov,3,6,3,2,New_Visitor,FALSE
11,494.166667,4,151,180,4773.335638,0.000538,0.0086,0,0,May,2,2,3,3,Returning_Visitor,FALSE
2,147,0,0,2,35,0,0.05,0,0,Mar,2,2,1,2,New_Visitor,FALSE
0,0,0,0,5,156,0,0.04,0,0,Feb,1,1,9,3,Returning_Visitor,FALSE
12,264.9,2,11,24,1032.3,0.02043,0.03619,0,0,Dec,1,1,9,1,Returning_Visitor,TRUE
0,0,0,0,6,202,0,0.016667,0,0,May,1,1,3,1,Returning_Visitor,TRUE
10,143.583333,1,92,245,7793.158685,0.001587,0.00461,59.424589,0,Nov,3,2,1,8,Returning_Visitor,FALSE
0,0,0,0,6,78,0.05,0.077778,0,0,May,1,1,1,15,Returning_Visitor,TRUE
2,15,0,0,44,1412.270833,0.004348,0.015483,0,0,Dec,2,2,1,2,New_Visitor,FALSE
0,0,0,0,14,999,0,0.023077,8.482952,0,Dec,2,2,3,6,Returning_Visitor,FALSE
1,40.5,0,0,7,170,0,0.016667,0,0,Dec,2,4,1,2,Returning_Visitor,FALSE
5,176,0,0,15,537.2,0.011765,0.023529,27.664,0.6,May,2,2,2,6,Returning_Visitor,FALSE
0,0,0,0,10,262.5,0,0.02,0,0,May,2,2,5,2,Returning_Visitor,FALSE
5,90.875,1,15,58,2153.71859,0.007527,0.012156,3.976472,0,May,3,2,1,2,Returning_Visitor,TRUE
0,0,0,0,21,289.5,0.009524,0.038095,0,0,Dec,2,2,6,10,Returning_Visitor,FALSE
2,63.5,0,0,12,222.5,0,0.007143,0,0,Dec,2,10,3,2,New_Visitor,TRUE
2,46.5,0,0,90,1322.004437,0,0.005475,16.878786,0,Dec,2,2,7,10,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Sep,1,8,1,1,Returning_Visitor,FALSE
1,8.5,0,0,30,659.2,0,0.006452,0,0,Mar,2,2,3,3,New_Visitor,TRUE
0,0,0,0,3,0,0.2,0.2,0,0.6,May,3,2,1,13,Returning_Visitor,FALSE
0,0,0,0,5,134.5,0.04,0.024,0,0,Nov,3,2,9,3,Returning_Visitor,TRUE
5,116,0,0,31,1350.258333,0.012903,0.023871,0,0,Dec,3,2,8,2,Returning_Visitor,FALSE
0,0,0,0,7,305.5,0,0.028571,0,0,Nov,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,4,478.033333,0.05,0.047619,0,0,Nov,1,1,3,2,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,2,1,20,Returning_Visitor,TRUE
0,0,0,0,14,598.433333,0.014286,0.035714,0,0,Jul,2,4,9,3,Returning_Visitor,FALSE
0,0,0,0,3,26,0.066667,0.133333,0,0,May,3,3,1,3,Returning_Visitor,FALSE
5,72.5,0,0,16,1154.766667,0.005263,0.026316,0,0,May,2,4,1,2,Returning_Visitor,TRUE
